Product Title,Product Rating,Price,Brand,Shipment Status,Seller Rating,Ship on Time Score,Mall Varification,Delivery Status,Reviews,Specification
Like New Phones - Used Apple iPhone X - Silver 256 GB - PTA Approved,5.0,106999,Apple,Fastest Delivery,92,100,Daraz Mall Verified,Fastest Delivery,Received as promised almost 10/10 condition genuine phone with genuine parts no issue found. Thanks will buy again in shaa allah,"Model: Apple
Model: iPhone X
Battery Health - 80+
PTA Approved
Screen: 5.8-in. Super Retina HD
Camera: 12MP Zoom 10x
Video camera: 4K Zoom 6x
Processor: A11 Bionic chip
Memory: 3GB
Battery: Lithium-ion 2716 mAh
Genuine OEM components
Certified 6 Months Daraz Warranty.
Daraz Warranty Center Location: Karachi & Lahore.
Warranty will be claimed on order number/invoice.
The phone will be dispatched in Daraz's Like New packaging.
Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit.
The original box, charging cable and charging dock will not be included.
All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition.
60+ Quality Check Points – International Standard Grading software, quality check report will also be sent.
Fully functional Factory Unlocked
There could be a few minimal scratches on the phone's body or screen.
Model: Apple Model: iPhone X Battery Health - 80+ PTA Approved Storage: 256 GB Screen: 5.8-in. Super Retina HD Camera: 12MP Zoom 10x Video camera: 4K Zoom 6x Processor: A11 Bionic chip Memory: 3GB Battery: Lithium-ion 2716 mAh Genuine OEM components Certified 6 Months Daraz Warranty. Daraz Warranty Center Location: Karachi & Lahore. Warranty will be claimed on order number/invoice. The phone will be dispatched in Daraz's Like New packaging. Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit. The original box, charging cable and charging dock will not be included. All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition. 60+ Quality Check Points – International Standard Grading software, quality check report will also be sent. Fully functional Factory Unlocked
Specifications of Like New Phones - Used Apple iPhone X - Silver 256 GB - PTA Approved
Brand Apple SKU 435087172_PK-2088535157 Storage capacity 256GB
What’s in the box 1x Used Apple iPhone X - Silver 256 GB - PTA Approved"
Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,4.7,49999,Xiaomi,Standard Delivery,92,100,Daraz Mall Verified,Standard Delivery,this is the initial review. the phone is the same as shown.good thing is that it is managed directly by Daraz. packaging was amazing. order came 1 day late only.,"Redmi Note 12 8GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty
ROM: 128GBOfficial Brand Stock 1 Year Brand Warranty
Available in 4 colors:
-Blue
-Grey
-Light Green
-Levender
Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty

ROM: 128GB
Official Brand Stock 1 Year Brand Warranty
Available in 4 colors: 
-Blue
-Grey
-Light Green
-Levender
Specifications of Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty
Brand Xiaomi SKU 429185340_PK-2040915791 Protection Not Specified Year Not Specified Number Of Cameras Not Specified
What’s in the box 1 x Redmi Note 12, 1 x Charger, 1 x User Guide"
Redmi A2+ - 3GB/64GB - Mediatek Helio G36 - Android 12- 5000 mAh Battery,4.7,19399,Xiaomi,Standard Delivery,92,100,Daraz Mall Verified,Standard Delivery,achhi packing but charging adapter was normal no handsfree no protector no mobile cover baqi use kr ke pta chalay ga dekhnay nice hai,"Display: 6.52” HD+ Dot Drop displayResolution: 1600×720 HD+Processor: MediaTek Helio G36Storage: Expandable Storage up to 1TBOperating System: Android 12 (Go Edition)Rear Camera: 8MP main cameraFront Camera: 5 MP CameraBattery: 5000mAh (typ) high-capacity batteryCharging: 10W fast charging | Micro USBDimensions: 164.9×76.75×9.09mmWeight: 192gAudio: 3.5mm headphone jack
Redmi A2+ - 3GB/64GB - Mediatek Helio G96 - Android 12 (Go Edition) - 5000 mAh Battery
Specifications of Redmi A2+ - 3GB/64GB - Mediatek Helio G36 - Android 12- 5000 mAh Battery
Brand Xiaomi SKU 430451931_PK-2051820850 Protection Not Specified Year Not Specified Number Of Cameras 2
What’s in the box Redmi A2+/ Adapter/ USB cable / SIM eject tool / User guide"
Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,4.7,64499,No Brand,Free Delivery,0,100,Not specified,Free Delivery,"I got what was shown, but I want to tell about the seller that my chat was not responded even after a couple of days, so please make your availability there so that the customer can place the order with full sitesify. Because the amount matters But my goal was to buy the product from there, so I took what I have and it is 💯 %authentic, and the warranty has not started yet, But the handsfree did not come out of the box, maybe not provided by the company. So the Overall experience was great and the seller is highly recommended. Thanks Daraz & Seller.🥰","Release Date2023-05-22SIM SupportDual SIM (Nano-SIM, dual stand-by)Phone Dimensions162.7 x 76 x 8.2 mmPhone Weight203 gOperating SystemAndroid 13, XOS 13DisplayScreen Size6.67 inchesScreen Resolution1080 x 2400 pixelsScreen TypeAMOLED, 1B colors, 120Hz, 900 nits (peak)Screen ProtectionN/AMemoryInternal Memory256 GBRAM8 GBCard SlotmicroSDXC (dedicated slot)PerformanceProcessorMediatek MT8781 Helio G99GPUMali-G57 MC2BatteryTypeLi-Po 5000 mAh, non-removableCameraFront Camera32 MPFront Flash LightYesFront Video Recording1080p@30fpsBack Flash LightYesBack Camera108 MP + 2 MP + 2 MPBack Video Recording1440p@30fps, 1080p@30fpsConnectivityBluetoothYes3GYes4G/LTEYes5GNoRadioYesWiFiYesNFCYes (market/region dependent)
Release Date 2023-05-22
SIM Support Dual SIM (Nano-SIM, dual stand-by)
Phone Dimensions 162.7 x 76 x 8.2 mm
Phone Weight 203 g
Operating System Android 13, XOS 13
Display
Screen Size 6.67 inches
Screen Resolution 1080 x 2400 pixels
Screen Type AMOLED, 1B colors, 120Hz, 900 nits (peak)
Screen Protection N/A
Memory
Internal Memory 256 GB
RAM 8 GB
Card Slot microSDXC (dedicated slot)
Performance
Processor Mediatek MT8781 Helio G99
GPU Mali-G57 MC2
Battery
Type Li-Po 5000 mAh, non-removable
Camera
Front Camera 32 MP
Front Flash Light Yes
Front Video Recording 1080p@30fps
Back Flash Light Yes
Back Camera 108 MP + 2 MP + 2 MP
Back Video Recording 1440p@30fps, 1080p@30fps
Connectivity
Bluetooth Yes"
"Infinix Note 30 8GB/128GB - Android 13 - 6.78"" Display - 5000 mAh Battery",4.3,43499,No Brand,Free Delivery,0,100,Not specified,Free Delivery,پن پیک فون ہے۔ جو لوگ کہتے ہیں کہ ڈبے میں کچھ چیزیں کم ہیں ۔ تو شائد اس کی وجہ یہ ہے کہ یہ ماڈل چائنہ اسمبل ہے ۔ باقی اللہ بہتر جانتا ہے۔,"• Infinix Note 30 with 6.78"" display and 5000mAh battery.• 8GB RAM and 128GB storage capacity.• Runs on Android 13 operating system.
The Infinix Note 30 is a powerful mobile device with an 8GB RAM and 128GB internal storage capacity. It runs on the latest Android 13 operating system and features a large 6.78-inch display, providing an immersive viewing experience. The device is equipped with a 5000mAh battery, ensuring long-lasting usage.
Specifications of Infinix Note 30 8GB/128GB - Android 13 - 6.78"" Display - 5000 mAh Battery
Brand No Brand SKU 436820987_PK-2101357944 Protection Not Specified Year 2020 Number Of Cameras Not Specified
What’s in the box 1 x Phone, 1x Charger"
Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - White 64 GB - PTA Approved,5.0,70999,Apple,Fastest Delivery,92,100,Daraz Mall Verified,Fastest Delivery,Totally satisfied with my purchase.,"Brand : Apple
Model : iPhone SE
Battery Health - 80+
PTA Approved
Memory : 64 GB
Screen : 4.7-in. Retina
HD Camera: 12MP Zoom 5x
Video camera : 4K Zoom 3x
Date of manufacture : 2020
Processor : A13 Bionic chip
Memory : 3GB
Battery : Lithium-ion 1821 mAh
Genuine OEM components
Certified 6 Months Daraz Warranty.
Daraz Warranty Center
Location: Karachi & Lahore.
Warranty will be claimed on order number/invoice.
The phone will be dispatched in Daraz's Like New packaging.
Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit.
The original box, charging cable and charging dock will not be included.
All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition.
60+ Quality Check Points – International Standard Grading software, quality check report will also be sent.
Fully functional Factory Unlocked
There could be a few minimal scratches on the phone's body or screen.
Brand : Apple Model : iPhone SE Battery Health - 80+ PTA Approved Memory : 64 GB Screen : 4.7-in. Retina HD Camera: 12MP Zoom 5x Video camera : 4K Zoom 3x Date of manufacture : 2020 Processor : A13 Bionic chip Memory : 3GB Battery : Lithium-ion 1821 mAh Genuine OEM components Certified 6 Months Daraz Warranty. Daraz Warranty Center Location: Karachi & Lahore. Warranty will be claimed on order number/invoice. The phone will be dispatched in Daraz's Like New packaging. Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit. The original box, charging cable and charging dock will not be included. All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition. 60+ Quality Check Points – International Standard Grading software, quality check report will also be sent. Fully functional Factory Unlocked
Specifications of Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - White 64 GB - PTA Approved
Brand Apple SKU 434305230_PK-2082863896 Storage capacity Not Specified
What’s in the box 1x Used Apple iPhone SE 2nd Gen (2020) - White 64 GB - PTA Approved"
Tecno SPARK 10 PRO 8GB RAM - 256GB ROM PTA APPROVED OFFICIAL BRAND WARRANTY,4.6,36799,Tecno,Free Delivery,89,95,Daraz Mall Verified,Free Delivery,"Tecno Spark 10 Pro 💯% original mobile, PTA approved, sealed pack, box pack, with all accessories. thank and love u daraz and seller 🥰🌹👍","Starry Black/Pearl White/Magic Skin(Black and White) / Magic Magenta
32MP Ultra Clear Glowing Selfie
G88 Gaming Processor
Hard-wearing Starry Glass
256GB ROM+16GB RAM（extended 8GB RAM）
50MP Ultra Clear Rear Camera
5000mAh Super Battery+18W Fast Charge
6.8"" FHD+ 90Hz Refresh Rate
Android13 + HiOS 12.6
Height: 168.41mm
Width:76.21mm
Thickness: 8.46mm
6.8"" FHD+90Hz
1080*2460 Resolution
Helio G88, Octa-core
5000mAh(typ)+18W
Android™ T
2G
3G
4G
GPS
WIFI
FM
OTG
NFC
32MP Front Camera with Dual Flash
50MP AI Triple Rear Camera with Dual Flash
G-Sensor
E-compass
Ambient Light Sensor
Proximity Sensor
Side Fingerprint Sensor
Specifications of Tecno SPARK 10 PRO 8GB RAM - 256GB ROM PTA APPROVED OFFICIAL BRAND WARRANTY
Brand Tecno SKU 436994487_PK-2101829511 Protection Not Specified Year Not Specified Number Of Cameras 3 Warranty Policy EN ONE YEAR OFFICIAL BRAND WARRANTY
What’s in the box Phone * 1 Charger cable * 1 Charger * 1"
Samsung Galaxy A34 8GB+256GB,4.8,103499,Samsung,Fastest Delivery,92,100,Daraz Mall Verified,Fastest Delivery,#11.11 its my Best Purchase of 11 11 sale on Daraz .. Got a huge Discount of 12k From Daraz and HBL .. Box Pack .. Official PTA Approved .. Genuine Samsung Device .. Honestly i am really Greatful to Daraz for their efforts .. Delivering such Quality Services and Affordable Prices .. Original Product .. I for Sure Recommend the Seller and the Product .. Thank You Daraz .. 👍,"Samsung A34 - 8GB/256GB - 6.6 inches Display - Android 13 - 5000mAh Battery
Colors:
Awesome GraphiteAwesome Lime
Awesome Silver
6.6 inches, 106.9 cm2 (~84.9% screen-to-body ratio) Android 13, One UI 5.1 Li-Po 5000 mAh, non-removable 48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF, OIS 8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm 5 MP, f/2.4, (macro)
Specifications of Samsung Galaxy A34 8GB+256GB
Brand Samsung SKU 433327714_PK-2125087779 Protection Not Specified Number Of Cameras Not Specified Year Not Specified
What’s in the box 1x Phone , 1x Charger"
Samsung Galaxy A24 8GB+128GB,4.6,71999,Samsung,Fastest Delivery,92,100,Daraz Mall Verified,Fastest Delivery,"It was an absolutely amazing experience. ordered on the 17th-October night and got it around 01-pm afternoon on 18th-October in less than 12 hours. As far as the product is concerned, Samsung is always a great experience as I have been a user of it since the beginning of the Android era back in 2010. Thanks, Daraz and seller, for extreme level service. Daraz is a highly recommended e-commerce platform of Pakistan from 2016 to till date, never disappointed me with services.","Samsung Galaxy A24 - RAM 8 GB - ROM 128 GB - Available in 3 colors - Official Brand Stock - PTA APPROVED
Samsung Galaxy A24 - RAM 8 GB - ROM 128 GB - Available in 3 colors - Official Brand Stock - PTA APPROVED
Specifications of Samsung Galaxy A24 8GB+128GB
Brand Samsung SKU 427414634_PK-2030038838 Protection Not Specified Year Not Specified Number Of Cameras Not Specified
What’s in the box 1 x Phone, 1 x User Manual"
Samsung Galaxy A14 6GB+128GB,4.3,54999,Samsung,Fastest Delivery,92,100,Daraz Mall Verified,Fastest Delivery,very fast delivery and origional sealed pack mobile I am satisfied,"Samsung A14 6/128
Samsung A14 - 6 GB RAM - 128 GB ROM
Specifications of Samsung Galaxy A14 6GB+128GB
Brand Samsung SKU 422210787_PK-1998035735 Protection Not Specified Year Not Specified Number Of Cameras Not Specified
What’s in the box 1 x Phone, 1 x User Manual"
